depth_mm,age_calBP,d18OcarbVPDB
362.830,2442.86,-9.57
362.890,2443.11,-9.45
362.950,2443.36,-9.41
363.010,2443.61,-9.42
363.070,2443.86,-9.45
363.130,2444.11,-9.52
363.190,2444.36,-9.46
363.250,2444.61,-9.44
363.310,2444.86,-9.51
363.370,2445.11,-9.48
363.430,2445.36,-9.43
363.490,2445.61,-9.42
363.550,2445.86,-9.38
363.610,2446.11,-9.40
363.670,2446.36,-9.40
363.730,2446.61,-9.41
363.790,2446.86,-9.43
363.850,2447.11,-9.35
363.910,2447.36,-9.41
363.970,2447.61,-9.40
364.030,2447.86,-9.46
364.090,2448.11,-9.45
364.150,2448.36,-9.44
364.210,2448.61,-9.50
364.270,2448.86,-9.56
364.330,2449.11,-9.66
364.390,2449.36,-9.57
364.450,2449.61,-9.67
364.510,2449.86,-9.65
364.570,2450.11,-9.52
364.630,2450.36,-9.50
364.690,2450.61,-9.52
364.750,2450.86,-9.46
364.810,2451.11,-9.47
364.870,2451.36,-9.52
364.930,2451.61,-9.40
364.990,2451.86,-9.58
365.050,2452.11,-9.64
365.110,2452.36,-9.45
365.170,2452.61,-9.43
365.230,2452.86,-9.55
365.290,2453.11,-9.57
365.350,2453.36,-9.60
365.410,2453.61,-9.59
365.470,2453.86,-9.58
365.530,2454.11,-9.58
365.590,2454.36,-9.75
365.650,2454.61,-9.67
365.710,2454.86,-9.87
365.770,2455.11,-9.73
365.830,2455.36,-9.68
365.890,2455.61,-9.79
365.950,2455.86,-9.68
366.010,2456.11,-9.68
366.070,2456.36,-9.53
366.130,2456.61,-9.59
366.190,2456.86,-9.67
366.250,2457.11,-9.73
366.310,2457.36,-9.59
366.370,2457.61,-9.72
366.430,2457.86,-9.68
366.490,2458.11,-9.74
366.550,2458.36,-9.72
366.610,2458.61,-9.67
366.670,2458.86,-9.76
366.730,2459.11,-9.74
366.790,2459.36,-9.72
366.850,2459.61,-9.73
366.910,2459.86,-9.70
366.970,2460.11,-9.72
367.030,2460.36,-9.65
367.090,2460.61,-9.65
367.150,2460.86,-9.54
367.210,2461.11,-9.66
367.270,2461.36,-9.62
367.330,2461.61,-9.61
367.390,2461.86,-9.52
367.450,2462.11,-9.71
367.510,2462.36,-9.72
367.570,2462.61,-9.63
367.630,2462.86,-9.58
367.690,2463.11,-9.55
367.750,2463.36,-9.58
367.810,2463.61,-9.56
367.870,2463.86,-9.58
367.930,2464.11,-9.59
367.990,2464.36,-9.50
368.050,2464.61,-9.55
368.110,2464.86,-9.33
368.170,2465.11,-9.49
368.230,2465.36,-9.56
368.290,2465.61,-9.49
368.350,2465.86,-9.39
368.410,2466.11,-9.49
368.470,2466.36,-9.54
368.530,2466.61,-9.53
368.590,2466.86,-9.50
368.650,2467.11,-9.56
368.710,2467.36,-9.60
368.770,2467.61,-9.38
368.830,2467.86,-9.36
368.890,2468.11,-9.40
368.950,2468.36,-9.45
369.010,2468.61,-9.37
369.070,2468.86,-9.44
369.130,2469.11,-9.33
369.190,2469.36,-9.43
369.250,2469.61,-9.33
369.310,2469.86,-9.43
369.370,2470.11,-9.41
369.430,2470.36,-9.45
369.490,2470.61,-9.39
369.550,2470.86,-9.53
369.610,2471.11,-9.50
369.670,2471.36,-9.52
369.730,2471.61,-9.62
369.790,2471.86,-9.59
369.850,2472.11,-9.64
369.910,2472.36,-9.65
369.970,2472.61,-9.67
370.030,2472.86,-9.68
370.090,2473.11,-9.62
370.150,2473.36,-9.72
370.210,2473.61,-9.70
370.270,2473.86,-9.60
370.330,2474.11,-9.69
370.390,2474.36,-9.71
370.450,2474.61,-9.67
370.510,2474.86,-9.69
370.570,2475.11,-9.63
370.630,2475.36,-9.62
370.690,2475.61,-9.54
370.750,2475.86,-9.56
370.810,2476.11,-9.59
370.870,2476.36,-9.43
370.930,2476.61,-9.54
370.990,2476.86,-9.47
371.050,2477.11,-9.49
371.110,2477.36,-9.41
371.170,2477.61,-9.27
371.230,2477.86,-9.53
371.290,2478.11,-9.51
371.350,2478.36,-9.60
371.410,2478.61,-9.39
371.470,2478.86,-9.45
371.530,2479.11,-9.53
371.590,2479.36,-9.56
371.650,2479.61,-9.64
371.710,2479.86,-9.58
371.770,2480.11,-9.54
371.830,2480.36,-9.62
371.890,2480.61,-9.75
371.950,2480.86,-9.59
372.010,2481.11,-9.65
372.070,2481.36,-9.65
372.130,2481.61,-9.56
372.190,2481.86,-9.59
372.250,2482.11,-9.60
372.310,2482.36,-9.50
372.370,2482.61,-9.60
372.430,2482.86,-9.52
372.490,2483.11,-9.51
372.550,2483.36,-9.44
372.610,2483.61,-9.39
372.670,2483.86,-9.34
372.730,2484.11,-9.37
372.790,2484.36,-9.34
372.850,2484.61,-9.37
372.910,2484.86,-9.31
372.970,2485.11,-9.49
373.030,2485.36,-9.50
373.090,2485.61,-9.69
373.150,2485.86,-9.66
373.210,2486.11,-9.40
373.270,2486.36,-9.58
373.330,2486.61,-9.65
373.390,2486.86,-9.69
373.450,2487.11,-9.53
373.510,2487.36,-9.60
373.570,2487.61,-9.65
373.630,2487.86,-9.74
373.690,2488.11,-9.74
373.750,2488.36,-9.66
373.810,2488.61,-10.01
373.870,2488.86,-9.96
373.930,2489.11,-9.99
373.990,2489.36,-9.87
374.050,2489.61,-9.96
374.110,2489.86,-9.97
374.170,2490.11,-9.90
374.230,2490.36,-9.92
374.290,2490.61,-9.86
374.350,2490.86,-9.95
374.410,2491.11,-10.08
374.470,2491.36,-9.93
374.530,2491.61,-10.03
374.590,2491.86,-10.13
374.650,2492.11,-10.07
