# Brown's Cave, Florida Mid-Holocene Speleothem Stable Isotope Data 
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 2.0
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/20612 
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/speleothem/northamerica/usa/florida/browns2017iso.txt
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Speleothems
#
# Parameter_Keywords: oxygen isotopes, carbon isotopes 
#--------------------
# Contribution_Date
#	Date: 2016-10-14
#--------------------
# Title
#	Study_Name: Brown's Cave, Florida Mid-Holocene Speleothem Stable Isotope Data 
#--------------------
# Investigators
# 	Investigators: Pollock, A.L.; van Beynen, P.E.; DeLong, K.L.; Polyak, V.; Asmerom, Y.
#--------------------
# Description_and_Notes
#	Description: Speleothem stable isotope (d13C and d18O) data from stalagmite BC01-07 collected in Brown's cave, 
#	central Florida, for the mid-Holocene (6.6 - 4.6 KYrBP).  The calcite speleothem was sampled at 100 um resolution 
#	down its c-axis for carbon and oxygen isotope analysis. 
#--------------------
# Publication 
#	Authors: Pollock, A.L., P.E. van Beynen, K.L. DeLong, V. Polyak and Y. Asmerom
#	Published_Date_or_Year: 2017
#	Published_Title: A Speleothem-based mid-Holocene precipitation reconstruction for West-Central Florida
#	Journal_Name: The Holocene
#	Volume: in press
#	Edition: 
#	Issue: 
#	Pages: 
#	Report_Number: 
#	DOI: 
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: The mid-Holocene is a period of warmer temperatures relative to those for most of this current interglacial. It possessed a weak latitudinal temperature gradient which is similar to what is expected in the coming decades. A changing gradient will impact climate teleconnections that have a significant effect on precipitation variability. Our window into the mid-Holocene climate is a high resolution (near-annual) stalagmite stable isotope-based paleoprecipitation record from Brown's Cave in West-Central Florida. An oxygen isotope (d18O) time-series tied to a uranium-series (U-series) chronology covers a 2,000-year period from 6.6 to 4.6 ka. To test the hypothesis of future drier climate, we compared our reconstruction to another speleothem derived precipitation record from our study area that spans the last 1,600 years. The comparison showed that the mid-Holocene was drier than the last 1.5 millennia. We posit the cause of this aridity was a westward expansion of the North Atlantic Subtropical High (NASH) coupled with changes in the planetary boundary layer in the Gulf of Mexico. Time series analysis of our oxygen isotopic record found little evidence of any teleconnections originating from the North Atlantic. We found no periodicity matching the North Atlantic Oscillation during the mid-Holocene. However, there is some indication of a weak, quasi-persistent oscillation within the temporal periodicity of the Atlantic Multidecadal Variability. 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: ATM-0823476 
#------------------
# Site_Information 
#	Site_Name: Brown's Cave
#	Location: North America>United States Of America>Florida
#	Country: United States Of America
#	Northernmost_Latitude: 22.8894
#	Southernmost_Latitude: 22.8894
#	Easternmost_Longitude: -82.5186
#	Westernmost_Longitude: -82.5186
#	Elevation:  m  
#------------------
# Data_Collection   
#	Collection_Name: Browns2017iso
#	Earliest_Year: 6603
#	Most_Recent_Year: 4626
#	Time_Unit: Cal. Year BP
#	Core_Length: m
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: U/Th chronology using MC-IPC-MS
# 
# Depth (mm from top)	238U (pg/g)	232Th (pg/g)	230Th/232Th	d234Ui	230Th/238U	Uncorrected age 	Corrected age 
# 18	386.8±0.9	886.7±26.3	59.9±1.8	12.3±0.8	0.0449±0.0004	4956±45	4824±80
# 33	418.7±1.0	412.0±30.9	138.5±10.4	12.2±0.8	0.0446±0.0003	4920±38	4864±47
# 55	361.6±0.9	227.8±43.2	231.3±44.0	9.6±1.2	0.0477±0.0005	5284±61	5248±64
# 73	586.6±1.5	166.5±41.4	524.1±130.5	8.4±0.9	0.0487±0.0004	5404±45	5388±46
# 94	565.6±1.4	461.5±42.6	189.0±17.5	8.8±0.9	0.0505±0.0004	5602±46	5555±51
# 103	688.1±1.7	510.2±33.4	211.33±13.9	8.8±0.8	0.0513±0.0003	4696±36	5654±42
# 115	699.7±1.7	2410.7±32.5	48.9±0.7	9.2±0.7	0.0551±0.0004	6133±42	5934±108
# 133	1026.1±2.5	5969.4±30.5	30.9±0.2	9.8±0.6	0.0587±0.0003	6543±31	6207±170
# 147	926.7±2.2	1259.7±43.7	131.6±4.7	0.4±0.7	0.0585±0.0005	6583±52	6504±65
#  	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
## depth_mm	depth, , , mm, , , Distance from top of speleothem, ,N
## age_calBP	age, , , calendar years before present, , , , ,N
## d18OcarbVPDB	delta18O, calcium carbonate, , per mil VPDB, , speleothem, , ,N 
## d13CcarbVPDB	delta13C, calcium carbonate, , per mil VPDB, , speleothem, , ,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
depth_mm	age_calBP	d18OcarbVPDB	d13CcarbVPDB
29.2	4888.5	-4.23	-9.44
29.3	4889.5	-4.38	-9.46
29.4	4890.6	-4.08	-9.30
29.5	4891.6	-3.70	-9.16
29.6	4892.6	-3.66	-9.26
29.7	4893.7	-3.56	-9.01
29.8	4894.7	-3.80	-9.06
29.9	4895.7	-3.61	-8.91
30	4896.8	-3.58	-9.37
30.1	4897.8	-3.56	-9.40
30.2	4898.8	-3.26	-9.27
30.3	4899.9	-3.07	-8.95
30.4	4900.9	-3.10	-8.96
30.5	4902.0	-3.16	-9.04
30.6	4903.0	-3.16	-9.19
30.7	4904.0	-3.38	-9.07
30.8	4905.1	-3.56	-9.39
30.9	4906.1	-3.42	-8.83
31	4907.1	-3.57	-8.92
31.1	4908.2	-3.79	-8.86
31.2	4909.2	-3.81	-8.90
31.3	4910.3	-3.67	-8.80
31.4	4911.3	-3.69	-8.99
31.5	4912.3	-3.79	-9.14
31.6	4913.4	-3.54	-9.12
31.7	4914.4	-3.78	-9.04
31.8	4915.4	-3.69	-8.68
31.9	4916.5	-3.77	-8.66
32	4917.5	-3.74	-8.89
32.1	4918.6	-3.92	-9.02
32.2	4919.6	-3.94	-9.01
32.3	4920.7	-4.37	-9.18
32.4	4921.7	-4.58	-9.39
32.5	4922.7	-4.65	-9.28
32.6	4923.8	-4.30	-9.40
32.7	4924.8	-3.96	-9.18
32.8	4925.9	-3.52	-9.02
32.9	4926.9	-3.22	-8.85
33	4928.0	-3.35	-8.69
33.1	4929.0	-3.37	-8.39
33.2	4930.0	-3.54	-8.60
33.3	4931.1	-3.52	-8.71
33.4	4932.1	-3.71	-8.93
33.5	4933.2	-3.33	-8.56
33.6	4934.2	-3.37	-8.54
33.7	4935.3	-3.06	-9.32
33.8	4936.3	-3.72	-8.86
33.9	4937.4	-3.49	-8.56
34	4938.4	-3.53	-8.28
34.1	4939.4	-3.53	-8.07
34.2	4940.5	-3.53	-8.49
34.3	4941.5	-3.57	-8.39
34.4	4942.6	-3.68	-8.66
34.5	4943.6	-3.32	-8.48
34.6	4944.7	-3.43	-8.67
34.7	4945.7	-3.53	-8.48
34.8	4946.8	-3.92	-8.39
34.9	4947.8	-4.32	-8.29
35	4948.9	-4.83	-8.29
35.1	4949.9	-4.99	-8.22
35.2	4951.0	-3.66	-8.53
35.3	4952.0	-3.45	-8.33
35.4	4953.1	-3.54	-8.53
35.5	4954.1	-3.42	-8.15
35.6	4955.2	-3.42	-8.17
35.7	4956.2	-3.62	-8.73
35.8	4957.3	-3.54	-8.54
35.9	4958.3	-3.27	-8.54
36	4959.4	-3.53	-8.46
36.1	4960.4	-3.48	-8.61
36.2	4961.5	-3.29	-8.43
36.3	4962.5	-3.51	-8.55
36.4	4963.6	-3.79	-8.61
36.5	4964.6	-3.81	-8.40
36.6	4965.7	-3.70	-8.62
36.7	4966.7	-3.73	-8.75
36.8	4967.8	-3.60	-8.60
36.9	4968.8	-3.61	-8.86
37	4969.9	-3.87	-8.32
37.1	4970.9	-3.71	-8.30
37.2	4972.0	-3.91	-8.37
37.3	4973.0	-4.18	-8.31
37.4	4974.1	-4.17	-8.38
37.5	4975.1	-3.97	-8.29
37.6	4976.2	-3.92	-8.64
37.7	4977.2	-4.15	-8.76
37.8	4978.3	-4.10	-9.12
37.9	4979.3	-3.80	-8.67
38	4980.4	-4.18	-9.21
38.1	4981.4	-3.81	-9.35
38.2	4982.5	-3.82	-9.31
38.3	4983.6	-3.81	-9.32
38.4	4984.6	-4.10	-9.42
38.5	4985.7	-3.78	-9.24
38.6	4986.7	-4.15	-9.29
38.7	4987.8	-3.97	-9.30
38.8	4988.8	-3.89	-9.66
38.9	4989.9	-4.26	-9.80
39	4990.9	-3.94	-9.65
39.1	4992.0	-3.92	-9.24
39.2	4993.0	-3.61	-9.21
39.3	4994.1	-3.66	-9.58
39.4	4995.2	-3.68	-9.80
39.5	4996.2	-3.87	-9.82
39.6	4997.3	-3.76	-9.66
39.7	4998.3	-3.61	-9.66
39.8	4999.4	-3.67	-9.47
39.9	5000.4	-3.49	-9.15
40	5001.5	-3.66	-9.17
40.1	5002.5	-3.41	-8.88
40.2	5003.6	-3.13	-9.23
40.3	5004.7	-3.72	-9.59
40.4	5005.7	-3.84	-9.92
40.5	5006.8	-3.84	-10.00
40.6	5007.8	-3.86	-9.99
40.7	5008.9	-3.88	-9.95
40.8	5009.9	-3.66	-9.84
40.9	5011.0	-3.49	-9.74
41	5012.0	-3.45	-9.83
41.1	5013.1	-3.62	-9.67
41.2	5014.2	-3.25	-9.48
41.3	5015.2	-3.19	-9.67
41.4	5016.3	-3.30	-9.49
41.5	5017.3	-3.40	-9.43
41.6	5018.4	-3.39	-9.25
41.7	5019.4	-3.51	-9.47
41.8	5020.5	-3.78	-9.59
41.9	5021.6	-3.85	-9.37
42	5022.6	-3.80	-9.47
42.1	5023.7	-3.76	-9.30
42.2	5024.7	-3.22	-9.11
42.3	5025.8	-3.68	-9.41
42.4	5026.9	-3.59	-9.08
42.5	5027.9	-3.53	-8.72
42.6	5029.0	-3.39	-8.93
42.7	5030.0	-3.39	-8.76
42.8	5031.1	-3.51	-8.48
42.9	5032.1	-3.49	-8.22
43	5033.2	-3.68	-8.19
43.1	5034.3	-3.51	-8.49
43.2	5035.3	-3.44	-8.71
43.3	5036.4	-3.55	-8.85
43.4	5037.4	-3.77	-9.08
43.5	5038.5	-3.52	-9.03
43.6	5039.6	-3.25	-8.89
43.7	5040.6	-3.61	-9.18
43.8	5041.7	-4.05	-9.26
43.9	5042.7	-3.89	-9.14
44	5043.8	-3.83	-9.24
44.1	5044.8	-3.55	-9.14
44.2	5045.9	-3.58	-9.31
44.3	5047.0	-3.30	-9.24
44.4	5048.0	-3.83	-9.36
44.5	5049.1	-3.14	-9.23
44.6	5050.1	-3.41	-9.11
44.7	5051.2	-3.60	-9.07
44.8	5052.3	-3.86	-9.23
44.9	5053.3	-3.77	-9.21
45	5054.4	-4.15	-9.71
45.1	5055.4	-3.66	-10.09
45.2	5056.5	-4.06	-9.83
45.3	5057.6	-3.62	-9.51
45.4	5058.6	-3.29	-9.51
45.5	5059.7	-3.76	-9.32
45.6	5060.7	-3.13	-9.11
45.7	5061.8	-3.70	-9.24
45.8	5062.9	-3.59	-8.53
45.9	5063.9	-3.28	-8.33
46	5065.0	-3.25	-8.49
46.1	5066.0	-3.37	-8.56
46.2	5067.1	-3.03	-8.63
46.3	5068.2	-3.20	-8.60
46.4	5069.2	-3.23	-8.58
46.5	5070.3	-3.03	-8.58
46.6	5071.3	-3.53	-8.40
46.7	5072.4	-3.55	-8.42
46.8	5073.5	-3.36	-8.56
46.9	5074.5	-3.47	-8.40
47	5075.6	-3.40	-8.37
47.1	5076.6	-3.37	-8.33
47.2	5077.7	-3.41	-8.47
47.3	5078.8	-3.42	-8.48
47.4	5079.8	-3.41	-8.65
47.5	5080.9	-3.44	-8.35
47.6	5081.9	-3.18	-8.91
47.7	5083.0	-3.76	-8.89
47.8	5084.1	-3.42	-8.86
47.9	5085.1	-3.80	-8.89
48	5086.2	-4.07	-8.91
48.1	5087.2	-4.19	-8.83
48.2	5088.3	-4.27	-8.97
48.3	5089.4	-4.07	-8.90
48.4	5090.4	-3.78	-8.88
48.5	5091.5	-3.97	-8.81
48.6	5092.5	-3.99	-8.75
48.7	5093.6	-4.27	-9.01
48.8	5094.7	-3.96	-8.98
48.9	5095.7	-3.96	-8.58
49	5096.8	-4.02	-8.29
49.1	5097.8	-4.41	-8.53
49.2	5098.9	-4.45	-8.53
49.3	5100.0	-4.22	-8.62
49.4	5101.0	-4.09	-9.09
49.5	5102.1	-4.00	-9.07
49.6	5103.1	-3.78	-9.01
49.7	5104.2	-3.77	-9.01
49.8	5105.3	-3.94	-9.41
49.9	5106.3	-4.02	-9.64
50	5107.4	-4.22	-9.69
50.1	5108.4	-3.98	-9.48
50.2	5109.5	-4.10	-9.23
50.3	5110.6	-3.84	-9.16
50.4	5111.6	-4.13	-9.06
50.5	5112.7	-4.46	-8.93
50.6	5113.7	-3.75	-8.94
50.7	5114.8	-4.18	-9.38
50.8	5115.9	-3.65	-9.27
50.9	5116.9	-3.40	-8.78
51	5118.0	-3.80	-8.69
51.1	5119.0	-3.52	-8.21
51.2	5120.1	-3.63	-8.25
51.3	5121.2	-3.90	-8.85
51.4	5122.2	-4.05	-9.15
51.5	5123.3	-4.22	-9.07
51.6	5124.3	-4.06	-9.21
51.7	5125.4	-4.12	-9.33
51.8	5126.5	-3.96	-9.05
51.9	5127.5	-3.53	-8.80
52	5128.6	-3.42	-8.64
52.1	5129.6	-3.47	-8.47
52.2	5130.7	-3.17	-8.06
52.3	5131.8	-3.70	-8.07
52.4	5132.8	-3.50	-8.20
52.5	5133.9	-3.34	-8.32
52.6	5134.9	-3.17	-8.52
52.7	5136.0	-3.10	-8.24
52.8	5137.1	-3.36	-8.28
52.9	5138.1	-3.37	-8.25
53	5139.2	-3.20	-8.09
53.1	5140.2	-3.39	-7.99
53.2	5141.3	-3.47	-7.86
53.3	5142.4	-3.57	-7.91
53.4	5143.4	-3.19	-8.04
53.5	5144.5	-3.67	-8.09
53.6	5145.5	-3.63	-8.19
53.7	5146.6	-3.65	-8.28
53.8	5147.7	-4.33	-8.67
53.9	5148.7	-4.12	-8.49
54	5149.8	-4.12	-8.58
54.1	5150.9	-4.03	-8.65
54.2	5151.9	-4.25	-8.91
54.3	5153.0	-3.88	-8.84
54.4	5154.0	-3.86	-8.72
54.5	5155.1	-3.66	-8.45
54.6	5156.2	-3.54	-8.59
54.7	5157.2	-3.34	-8.52
54.8	5158.3	-3.38	-8.40
54.9	5159.3	-3.35	-8.29
55	5160.4	-3.80	-8.60
55.1	5161.5	-4.20	-9.00
55.2	5162.5	-4.05	-8.91
55.3	5163.6	-3.98	-8.63
55.4	5164.6	-3.76	-8.64
55.5	5165.7	-2.93	-8.33
55.6	5166.8	-3.52	-8.49
55.7	5167.8	-3.63	-8.74
55.8	5168.9	-3.16	-8.47
55.9	5169.9	-3.17	-7.97
56	5171.0	-3.24	-7.61
56.1	5172.1	-3.37	-7.67
56.2	5173.1	-3.53	-7.80
56.3	5174.2	-3.63	-7.74
56.4	5175.2	-3.50	-7.98
56.5	5176.3	-3.47	-7.97
56.6	5177.4	-3.44	-8.08
56.7	5178.4	-3.27	-8.18
56.8	5179.5	-3.04	-7.85
56.9	5180.5	-3.23	-7.74
57	5181.6	-3.36	-7.82
57.1	5182.7	-3.47	-7.91
57.2	5183.7	-3.44	-8.29
57.3	5184.8	-3.46	-8.35
57.4	5185.8	-3.48	-8.64
57.5	5186.9	-3.31	-8.51
57.6	5188.0	-3.39	-8.61
57.7	5189.0	-3.49	-8.65
57.8	5190.1	-3.46	-8.35
57.9	5191.1	-3.60	-8.72
58	5192.2	-3.23	-8.77
58.1	5193.3	-3.19	-8.58
58.2	5194.3	-3.05	-8.50
58.3	5195.4	-3.32	-8.67
58.4	5196.5	-3.16	-8.63
58.5	5197.5	-3.22	-8.63
58.6	5198.6	-3.12	-8.77
58.7	5199.6	-3.26	-8.40
58.8	5200.7	-3.49	-8.43
58.9	5201.8	-3.40	-8.55
59	5202.8	-3.33	-8.71
59.1	5203.9	-3.53	-8.37
59.2	5204.9	-3.53	-8.19
59.3	5206.0	-3.19	-8.05
59.4	5207.1	-3.57	-8.45
59.5	5208.1	-3.16	-8.27
59.6	5209.2	-3.33	-8.46
59.7	5210.2	-3.37	-8.35
59.8	5211.3	-3.20	-8.00
59.9	5212.4	-3.14	-8.20
60	5213.4	-3.41	-8.15
60.1	5214.5	-3.23	-7.98
60.2	5215.5	-3.55	-8.32
60.3	5216.6	-3.44	-8.70
60.4	5217.7	-3.63	-9.02
60.5	5218.7	-3.37	-8.62
60.6	5219.8	-3.30	-8.56
60.7	5220.9	-3.47	-8.33
60.8	5221.9	-3.10	-8.15
60.9	5223.0	-3.69	-8.21
61	5224.0	-3.72	-8.09
61.1	5225.1	-3.66	-8.02
61.2	5226.2	-3.69	-8.24
61.3	5227.2	-3.74	-8.29
61.4	5228.3	-3.82	-8.24
61.5	5229.3	-3.46	-8.07
61.6	5230.4	-3.88	-8.13
61.7	5231.5	-3.68	-8.00
61.8	5232.5	-3.56	-8.15
61.9	5233.6	-3.37	-8.15
62	5234.7	-3.74	-8.19
62.1	5235.7	-3.78	-8.07
62.2	5236.8	-3.68	-7.80
62.3	5237.8	-3.94	-8.12
62.4	5238.9	-3.92	-8.26
62.5	5240.0	-3.84	-8.18
62.6	5241.0	-3.42	-8.05
62.7	5242.1	-3.79	-7.83
62.8	5243.2	-3.38	-7.78
62.9	5244.2	-3.78	-7.91
63	5245.3	-3.50	-7.64
63.1	5246.3	-3.20	-7.46
63.2	5247.4	-3.18	-7.64
63.3	5248.5	-3.45	-7.79
63.4	5249.5	-3.05	-7.46
63.5	5250.6	-3.08	-7.30
63.6	5251.7	-3.40	-7.24
63.7	5252.7	-3.28	-6.90
63.8	5253.8	-3.28	-6.88
63.9	5254.8	-3.02	-6.84
64	5255.9	-3.55	-7.12
64.1	5257.0	-3.24	-7.22
64.2	5258.0	-3.36	-6.92
64.3	5259.1	-3.29	-6.85
64.4	5260.2	-3.41	-7.00
64.5	5261.2	-3.14	-7.02
64.6	5262.3	-3.19	-7.06
64.7	5263.4	-3.11	-6.90
64.8	5264.4	-3.42	-7.28
64.9	5265.5	-3.41	-7.09
65	5266.5	-3.20	-7.08
65.1	5267.6	-3.57	-7.28
65.2	5268.7	-3.62	-7.38
65.3	5269.7	-3.84	-7.53
65.4	5270.8	-3.93	-7.44
65.5	5271.9	-3.99	-7.48
65.6	5272.9	-4.04	-7.61
65.7	5274.0	-4.22	-7.80
65.8	5275.1	-4.24	-8.16
65.9	5276.1	-4.02	-8.09
66	5277.2	-3.82	-8.04
66.1	5278.3	-3.55	-8.22
66.2	5279.3	-3.60	-8.24
66.3	5280.4	-3.44	-8.27
66.4	5281.5	-3.61	-8.50
66.5	5282.5	-3.73	-8.50
66.6	5283.6	-3.71	-8.51
66.7	5284.7	-3.88	-8.77
66.8	5285.7	-3.81	-8.81
66.9	5286.8	-3.74	-8.54
67	5287.9	-3.47	-8.55
67.1	5288.9	-3.91	-8.59
67.2	5290.0	-3.64	-8.77
67.3	5291.1	-3.78	-8.83
67.4	5292.1	-3.54	-8.87
67.5	5293.2	-3.84	-8.86
67.6	5294.3	-3.79	-8.93
67.7	5295.3	-3.66	-9.02
67.8	5296.4	-3.65	-8.97
67.9	5297.5	-3.99	-9.18
68	5298.5	-4.04	-9.47
68.1	5299.6	-4.13	-9.60
68.2	5300.7	-4.11	-9.46
68.3	5301.7	-3.92	-9.35
68.4	5302.8	-3.78	-9.41
68.5	5303.9	-3.75	-9.15
68.6	5304.9	-3.70	-9.57
68.7	5306.0	-3.51	-9.19
68.8	5307.1	-3.73	-9.31
68.9	5308.1	-3.83	-9.46
69	5309.2	-3.93	-9.50
69.1	5310.3	-3.87	-9.67
69.2	5311.4	-3.74	-9.61
69.3	5312.4	-3.55	-9.30
69.4	5313.5	-3.62	-9.17
69.5	5314.6	-3.62	-9.05
69.6	5315.6	-3.95	-8.78
69.7	5316.7	-3.74	-8.72
69.8	5317.8	-3.75	-8.73
69.9	5318.8	-3.91	-8.75
70	5319.9	-3.90	-8.56
70.1	5321.0	-4.07	-8.78
70.2	5322.1	-3.66	-8.50
70.3	5323.1	-3.12	-8.46
70.4	5324.2	-3.64	-8.54
70.5	5325.3	-3.68	-8.68
70.6	5326.3	-3.41	-8.25
70.7	5327.4	-3.47	-7.97
70.8	5328.5	-3.69	-7.85
70.9	5329.6	-3.51	-7.62
71	5330.6	-3.79	-7.74
71.1	5331.7	-3.29	-7.44
71.2	5332.8	-3.60	-7.47
71.3	5333.9	-3.77	-7.94
71.4	5334.9	-3.53	-7.55
71.5	5336.0	-3.40	-7.50
71.6	5337.1	-3.58	-7.92
71.7	5338.2	-3.87	-7.96
71.8	5339.2	-3.64	-7.76
71.9	5340.3	-3.64	-7.77
72	5341.4	-3.79	-7.74
72.1	5342.5	-3.53	-7.63
72.2	5343.5	-3.15	-7.39
72.3	5344.6	-3.38	-7.20
72.4	5345.7	-3.20	-7.31
72.5	5346.8	-3.45	-7.44
72.6	5347.8	-3.47	-7.47
72.7	5348.9	-3.40	-7.26
72.8	5350.0	-3.33	-6.92
72.9	5351.1	-3.32	-7.15
73	5352.1	-3.90	-7.42
73.1	5353.2	-3.82	-7.85
73.2	5354.3	-3.77	-7.93
73.3	5355.4	-3.76	-8.26
73.4	5356.5	-3.87	-8.20
73.5	5357.5	-3.83	-8.32
73.6	5358.6	-3.58	-8.17
73.7	5359.7	-3.54	-8.27
73.8	5360.8	-3.43	-8.10
73.9	5361.9	-3.52	-8.31
74	5362.9	-3.62	-8.43
74.1	5364.0	-3.85	-8.46
74.2	5365.1	-3.99	-8.49
74.3	5366.2	-3.95	-8.29
74.4	5367.3	-3.87	-8.54
74.5	5368.4	-3.93	-8.53
74.6	5369.4	-3.82	-8.83
74.7	5370.5	-3.67	-8.74
74.8	5371.6	-3.76	-8.86
74.9	5372.7	-3.67	-8.59
75	5373.8	-3.89	-8.72
75.1	5374.8	-3.78	-8.87
75.2	5375.9	-3.69	-8.97
75.3	5377.0	-3.54	-8.90
75.4	5378.1	-3.44	-8.60
75.5	5379.2	-3.53	-8.31
75.6	5380.3	-3.61	-8.18
75.7	5381.4	-3.62	-8.21
75.8	5382.4	-3.75	-8.32
75.9	5383.5	-3.95	-8.17
76	5384.6	-4.06	-7.95
76.1	5385.7	-4.09	-7.83
76.2	5386.8	-3.51	-7.41
76.3	5387.9	-3.70	-7.55
76.4	5389.0	-3.44	-7.46
76.5	5390.1	-4.01	-7.76
76.6	5391.1	-4.02	-7.93
76.7	5392.2	-4.02	-8.07
76.8	5393.3	-4.23	-8.29
76.9	5394.4	-4.19	-8.29
77	5395.5	-3.99	-8.18
77.1	5396.6	-3.75	-7.94
77.2	5397.7	-3.81	-8.03
77.3	5398.8	-3.68	-7.74
77.4	5399.9	-3.54	-7.85
77.5	5401.0	-3.44	-7.94
77.6	5402.1	-3.59	-7.93
77.7	5403.2	-3.36	-7.63
77.8	5404.2	-3.46	-7.56
77.9	5405.3	-3.30	-7.70
78	5406.4	-3.19	-7.75
78.1	5407.5	-3.15	-7.81
78.2	5408.6	-3.24	-7.89
78.3	5409.7	-3.35	-7.92
78.4	5410.8	-3.25	-7.57
78.5	5411.9	-3.16	-7.88
78.6	5413.0	-3.17	-7.79
78.7	5414.1	-3.05	-7.86
78.8	5415.2	-3.35	-8.06
78.9	5416.3	-3.35	-8.15
79	5417.4	-3.57	-8.23
79.1	5418.5	-3.35	-8.12
79.2	5419.6	-3.52	-8.15
79.3	5420.7	-3.54	-8.25
79.4	5421.8	-3.66	-8.36
79.5	5422.9	-3.77	-8.28
79.6	5424.0	-3.75	-8.20
79.7	5425.1	-3.67	-8.11
79.8	5426.2	-3.85	-8.18
79.9	5427.3	-3.93	-8.41
80	5428.4	-3.82	-8.50
80.1	5429.5	-3.98	-8.78
80.2	5430.6	-3.64	-8.70
80.3	5431.7	-3.81	-8.74
80.4	5432.8	-3.91	-8.85
80.5	5433.9	-3.99	-8.79
80.6	5435.0	-4.35	-8.64
80.7	5436.2	-3.63	-8.56
80.8	5437.3	-3.45	-8.48
80.9	5438.4	-3.59	-8.24
81	5439.5	-3.64	-8.29
81.1	5440.6	-3.68	-8.34
81.2	5441.7	-3.64	-8.21
81.3	5442.8	-3.63	-8.37
81.4	5443.9	-3.68	-8.38
81.5	5445.0	-3.29	-7.85
81.6	5446.1	-3.30	-7.63
81.7	5447.3	-3.29	-7.63
81.8	5448.4	-3.29	-7.72
81.9	5449.5	-3.34	-7.97
82	5450.6	-3.42	-7.85
82.1	5451.7	-3.62	-7.61
82.2	5452.8	-3.85	-7.65
82.3	5453.9	-3.98	-7.74
82.4	5455.0	-4.13	-8.08
82.5	5456.2	-4.19	-8.14
82.6	5457.3	-4.33	-8.25
82.7	5458.4	-4.26	-8.25
82.8	5459.5	-4.26	-8.22
82.9	5460.6	-4.23	-8.33
83	5461.8	-4.30	-8.42
83.1	5462.9	-4.03	-8.47
83.2	5464.0	-3.69	-8.43
83.3	5465.1	-3.96	-8.65
83.4	5466.2	-3.83	-8.77
83.5	5467.4	-3.91	-8.78
83.6	5468.5	-3.58	-8.85
83.7	5469.6	-3.66	-8.65
83.8	5470.7	-3.73	-8.38
83.9	5471.9	-3.46	-8.32
84	5473.0	-3.44	-8.28
84.1	5474.1	-3.66	-8.39
84.2	5475.2	-3.70	-8.51
84.3	5476.4	-3.59	-8.54
84.4	5477.5	-3.90	-8.65
84.5	5478.6	-3.77	-8.72
84.6	5479.7	-4.07	-8.66
84.7	5480.9	-3.98	-8.77
84.8	5482.0	-3.96	-8.89
84.9	5483.1	-3.87	-8.65
85	5484.3	-3.79	-8.55
85.1	5485.4	-3.73	-8.43
85.2	5486.5	-3.67	-8.45
85.3	5487.7	-3.61	-8.47
85.4	5488.8	-3.56	-8.41
85.5	5489.9	-3.30	-8.42
85.6	5491.1	-2.72	-8.60
85.7	5492.2	-3.22	-8.58
85.8	5493.3	-3.27	-8.69
85.9	5494.5	-3.25	-8.57
86	5495.6	-3.50	-8.73
86.1	5496.8	-3.60	-8.68
86.2	5497.9	-3.52	-8.48
86.3	5499.0	-3.50	-8.51
86.4	5500.2	-3.57	-8.54
86.5	5501.3	-3.40	-8.39
86.6	5502.5	-3.44	-8.46
86.7	5503.6	-3.54	-8.48
86.8	5504.8	-3.54	-8.46
86.9	5505.9	-3.67	-8.56
87	5507.1	-4.02	-8.83
87.1	5508.2	-4.07	-8.71
87.2	5509.3	-3.86	-8.70
87.3	5510.5	-3.93	-8.75
87.4	5511.6	-4.26	-8.80
87.5	5512.8	-3.75	-8.54
87.6	5513.9	-3.92	-8.50
87.7	5515.1	-3.82	-8.44
87.8	5516.2	-3.76	-8.22
87.9	5517.4	-3.84	-8.25
88	5518.6	-3.96	-8.38
88.1	5519.7	-4.14	-8.33
88.2	5520.9	-4.26	-8.31
88.3	5522.0	-4.28	-8.14
88.4	5523.2	-4.33	-8.32
88.5	5524.3	-4.18	-8.24
88.6	5525.5	-4.01	-8.14
88.7	5526.7	-4.06	-8.13
88.8	5527.8	-4.02	-8.19
88.9	5529.0	-4.01	-8.04
89	5530.1	-3.96	-8.26
89.1	5531.3	-3.93	-8.08
89.2	5532.5	-3.80	-8.17
89.3	5533.6	-3.67	-8.08
