"","x"
"B",0.110351723579231
"B0",-0.208724941409235
"alpha[1]",-1.02616518064887
"alpha[2]",1.20933090832497
"alpha[3]",0.132601119745965
"alpha[4]",0.0751991327903158
"alpha[5]",-0.942588797107797
"alpha[6]",-0.0748922016316905
"alpha[7]",-1.40770845729657
"alpha[8]",1.500823423624
"alpha[9]",0.563704116316792
"alpha[10]",-0.202856765876767
"alpha[11]",-3.12019811007545
"alpha[12]",0.814951624968338
"alpha[13]",0.664819601370601
"alpha[14]",0.355122356853686
"alpha[15]",0.305557769795383
"alpha[16]",-0.0104444565041594
"alpha[17]",-0.301527054004077
"alpha[18]",0.179096263238057
"alpha[19]",0.0897159761195641
"alpha[20]",1.22100366430755
"alpha[21]",1.13047270312753
"alpha[22]",0.128152704395298
"alpha[23]",0.562913086600481
"alpha[24]",1.85235951608331
"alpha[25]",-0.117826300674606
"alpha[26]",-0.358000526933689
"alpha[27]",-1.07161894991797
"alpha[28]",-0.699623452664963
"alpha[29]",0.430814655029185
"alpha[30]",0.768316313415542
"alpha[31]",-1.01341549679724
"alpha[32]",0.346099181305994
"alpha[33]",-0.879527989223418
"alpha[34]",-1.47676165692189
"alpha[35]",0.737471841207292
"alpha[36]",-0.149592240147685
"alpha[37]",-0.301472708046451
"alpha[38]",-0.5633461317915
"alpha[39]",-0.0568477305525607
"alpha[40]",-1.2157637072064
"alpha[41]",0.695838882246864
"alpha[42]",-1.26626322546051
"alpha[43]",-0.351916807376832
"alpha[44]",1.08464284899841
"alpha[45]",0.618727957078729
"alpha[46]",-0.754908074209135
"alpha[47]",0.594143933374027
"alpha[48]",1.04133062843098
"alpha[49]",-0.572210290657977
"alpha[50]",0.0420880978603065
"alpha[51]",-0.423195092201202
"alpha[52]",-1.9185844538558
"alpha[53]",0.502439884334091
"alpha[54]",0.795125884828752
"alpha[55]",0.395827880785369
"alpha[56]",0.602518804969138
"alpha[57]",0.0630611625456334
"alpha[58]",0.0573342789065553
"alpha[59]",0.648543230399077
"alpha[60]",-0.916157171437528
"alpha[61]",-0.403704689350546
"alpha[62]",-0.0356844580269175
